refractive_index,inclusion_density,label
2.9423,3.6229,0
2.2574,1.9136,1
1.2287,4.1707,0
2.1737,3.4535,0
1.9617,1.9947,1
3.8899,0.9791,1
2.1287,3.4394,0
2.2348,3.5593,0
2.9847,3.1464,0
3.0126,1.4482,1
3.7548,1.7465,1
1.9695,3.4425,0
3.5873,1.3868,1
3.5809,2.1583,1
2.1328,2.9994,0
3.3853,1.8326,1
2.2294,3.0537,0
3.6680,1.3465,1
2.8568,2.1176,1
3.3504,1.2601,1
3.1284,1.8518,1
3.8708,1.9235,1
1.6514,2.2341,0
2.3754,2.5805,0
2.0259,3.9131,0
3.0435,2.2327,1
3.4935,2.6555,1
1.5528,3.9148,0
1.8837,4.0380,0
1.9219,2.6847,0
2.1195,4.0579,0
4.4561,2.1166,1
1.5318,3.0305,0
2.4977,2.6377,0
2.4837,3.0554,0
2.5418,3.9974,0
2.5849,3.0559,0
3.0021,2.4066,1
2.5425,3.4818,0
3.7478,2.2932,1
3.6604,1.1482,1
3.3702,1.5881,1
2.0480,3.3260,0
3.7225,1.8427,1
3.2614,1.6833,1
2.7188,3.9649,0
3.1670,2.1606,1
1.5657,2.9045,0
3.1332,1.9436,1
3.6978,2.5014,1
2.4614,1.4106,1
3.1460,1.4936,1
3.6839,1.4017,1
1.7258,4.1408,0
1.2885,2.9403,0
2.2863,1.8846,1
1.1090,3.8797,0
4.0071,2.9671,1
3.4711,2.5610,1
2.7479,3.2419,0
1.5690,2.3507,0
1.5880,3.1372,0
2.3483,3.3112,0
3.7389,1.0980,1
4.2367,1.8009,1
3.5622,0.7615,1
2.0516,3.0101,0
3.8808,1.1743,1
2.0200,3.6233,0
1.5502,3.3021,0
2.8185,2.4970,1
2.8096,2.5201,0
1.9213,3.0763,0
2.0201,2.5070,0
2.4549,2.9816,0
2.9057,2.1271,1
1.6127,3.9183,0
2.3459,3.5755,0
3.2997,1.5972,1
2.7894,1.9667,1
2.3922,3.5550,0
3.6220,1.2315,1
2.9800,2.9646,0
1.8384,3.2046,0
1.9178,2.9951,0
2.2576,3.2974,0
3.3397,2.2171,1
1.9344,2.8874,1
1.5889,3.4069,0
2.8643,2.0882,1
1.9772,3.8892,0
0.6104,2.4491,0
4.3987,1.3284,1
2.7928,2.9806,0
3.9394,2.5501,1
3.1687,2.5371,1
2.0125,3.3495,0
2.8246,3.7338,0
2.5785,3.5959,0
2.6155,2.6901,0
3.8922,1.7840,1
2.8304,2.0271,1
4.0742,1.9000,1
3.3718,2.3298,1
1.6644,2.4139,0
2.7901,2.9734,0
1.8230,4.1056,0
2.2853,3.5195,0
3.5079,2.1715,1
1.5038,3.8806,0
3.1757,1.6699,1
3.9282,2.4019,1
2.5488,4.0427,0
1.2300,2.9224,0
3.7239,2.3541,1
3.0445,3.5187,0
3.8312,1.6375,1
1.4913,3.1052,0
3.3457,1.2652,1
3.0643,2.4859,1
3.1820,3.7668,0
1.9677,3.7699,0
3.6377,2.7382,1
3.9762,2.2274,1
3.6002,1.9954,1
2.8416,2.2214,1
3.4502,2.5187,1
1.2585,2.0560,0
3.1895,2.4616,1
3.2804,1.8434,1
1.4833,3.6625,0
3.0395,1.7015,1
1.1016,2.7179,0
2.8423,2.8738,1
2.1541,2.6663,0
2.1919,3.4739,0
3.4462,1.2907,1
3.5188,2.5091,1
2.1953,3.0099,0
2.9160,2.2260,1
2.5789,2.7136,0
3.5638,1.6361,1
2.8901,1.9875,1
1.1685,2.9521,0
3.3208,2.1198,1
3.0358,1.7998,1
3.0947,2.4081,1
2.6044,3.0377,0
2.9233,2.0696,1
1.6908,2.1469,0
